#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
11CEB145STA	11CEB145STA_3	151196	151712	cap8A	1-516/516	========/======	1/1	100.00	99.81	vfdb2	NP_644939	(cap8A) capsular polysaccharide synthesis enzyme  [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	151880	152566	cap8B	1-687/687	===============	0/0	100.00	98.98	vfdb2	NP_644940	(cap8B) capsular polysaccharide synthesis enzyme Cap8B [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	152569	153333	cap8C	1-765/765	===============	0/0	100.00	99.61	vfdb2	NP_644941	(cap8C) capsular polysaccharide synthesis enzyme Cap8C [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	153353	155176	cap8D	1-1824/1824	===============	0/0	100.00	99.73	vfdb2	NP_644942	(cap8D) capsular polysaccharide synthesis enzyme Cap8D [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	155166	156194	cap8E	1-1029/1029	===============	0/0	100.00	99.22	vfdb2	NP_644943	(cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	156207	157316	cap8F	1-1110/1110	===============	0/0	100.00	99.46	vfdb2	NP_644944	(cap8F) capsular polysaccharide synthesis enzyme Cap8F [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	157320	158444	cap8G	1-1125/1125	===============	0/0	100.00	99.56	vfdb2	NP_644945	(cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	162566	163771	cap8L	1-1206/1206	===============	0/0	100.00	99.50	vfdb2	NP_644950	(cap8L) capsular polysaccharide synthesis enzyme Cap8L [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	163782	164339	cap8M	1-558/558	===============	0/0	100.00	99.64	vfdb2	NP_644951	(cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	164339	165226	cap8N	1-888/888	===============	0/0	100.00	99.44	vfdb2	NP_644952	(cap8N) capsular polysaccharide synthesis enzyme Cap8N [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	165280	166542	cap8O	1-1263/1263	===============	0/0	100.00	99.05	vfdb2	NP_644953	(cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	166619	167764	cap8P	1-1146/1146	===============	0/0	100.00	99.56	vfdb2	NP_644954	(cap8P) capsular polysaccharide synthesis enzyme Cap8P [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	346153	346446	esxA	1-294/294	===============	0/0	100.00	100.00	vfdb2	NP_645073	(esxA) type VII secretion system protein secreted protein EsxA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	346529	349558	esaA	1-3030/3030	===============	0/0	100.00	98.91	vfdb2	NP_645074	(esaA) type VII secretion system protein EsaA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	349558	350016	essA	1-459/459	===============	0/0	100.00	98.26	vfdb2	NP_645075	(essA) type VII secretion system protein EssA monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	349988	350230	esaB	1-243/243	===============	0/0	100.00	99.59	vfdb2	NP_645076	(esaB) type VII secretion system protein EsaB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	350243	351577	essB	1-1335/1335	===============	0/0	100.00	99.03	vfdb2	NP_645078	(essB) type VII secretion system protein EssB monotopic membrane protein [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	351599	356038	essC	1-4440/4440	===============	0/0	100.00	98.51	vfdb2	NP_645079	(essC) type VII secretion system protein EssC FtsK/SpoIIIE family ATPase [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	356068	356460	esaC	1-393/393	===============	0/0	100.00	97.71	vfdb2	NP_645081	(esaC) type VII secretion system protein secreted protein EsxC [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	356476	356790	esxB	1-315/315	===============	0/0	100.00	97.46	vfdb2	NP_645082	(esxB) type VII secretion system protein secreted protein EsxB [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	384538	386613	geh	1-2073/2073	========/======	1/3	100.00	99.13	vfdb2	NP_645114	(geh) glycerol ester hydrolase [Lipase (VF0012)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	988420	988749	sspC	1-330/330	===============	0/0	100.00	99.70	vfdb2	NP_645747	(sspC) Staphostatin B [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	988787	989968	sspB	1-1182/1182	===============	0/0	100.00	99.83	vfdb2	NP_645748	(sspB) staphopain cysteine proteinase SspB [Staphopain (VF0006)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	990050	991078	sspA	1-984/984	========/======	1/45	100.00	94.85	vfdb2	NP_645749	(sspA) serine protease; V8 protease; glutamyl endopeptidase [V8 protease (VF0023)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1072872	1074809	isdB	1-1938/1938	===============	0/0	100.00	98.97	vfdb2	YP_001332074	(isdB) iron-regulated surface determinant protein B haemoglobin receptor [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB145STA	11CEB145STA_3	1075012	1076064	isdA	1-1053/1053	===============	0/0	100.00	100.00	vfdb2	YP_001332075	(isdA) iron-regulated surface determinant protein A [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB145STA	11CEB145STA_3	1076273	1076956	isdC	1-684/684	===============	0/0	100.00	100.00	vfdb2	YP_001332076	(isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB145STA	11CEB145STA_3	1076956	1078032	isdD	1-1077/1077	===============	0/0	100.00	99.72	vfdb2	NP_645831	(isdD) iron-regulated surface determinant protein D [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1078029	1078907	isdE	1-879/879	===============	0/0	100.00	100.00	vfdb2	YP_001332078	(isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB145STA	11CEB145STA_3	1078920	1079885	isdF	1-966/966	===============	0/0	100.00	99.69	vfdb2	NP_645833	(isdF) iron-regulated surface determinant protein F ATP-binding-cassette-type transmembrane transporter [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1079947	1080681	srtB	1-735/735	===============	0/0	100.00	99.59	vfdb2	NP_645834	(srtB) NPQTN specific sortase B [Isd (VF0015)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1080700	1081023	isdG	1-324/324	===============	0/0	100.00	99.69	vfdb2	YP_001332081	(isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB145STA	11CEB145STA_3	1107429	1108388	hly/hla	1-960/960	===============	0/0	100.00	99.79	vfdb2	NP_645861	(hly/hla) Alpha-Hemolysin precursor [<alpha>-hemolysin (VF0001)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1485744	1487204	ebp	1-1461/1461	===============	0/0	100.00	99.73	vfdb2	NP_646186	(ebp) cell surface elastin binding protein [EbpS (VF0008)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1828049	1829017	lukF-PV	1-969/978	========/======	2/2	98.98	82.37	vfdb2	NP_646195	(lukF-PV) Panton-Valentine leukocidin chain F precursor [PVL (VF0018)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1958922	1959272	scn	1-351/351	===============	0/0	100.00	99.72	vfdb2	YP_001332910	(scn) complement inhibitor SCIN [SCIN (VF0425)] [Staphylococcus aureus subsp. aureus str. Newman]
11CEB145STA	11CEB145STA_3	1960769	1961260	sak	1-492/492	===============	0/0	100.00	99.80	vfdb2	NP_646702	(sak) Staphylokinase precursor [Staphylokinase (VF0021)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	1962969	1963742	sea	1-774/774	===============	0/0	100.00	100.00	vfdb2	NP_646706	(sea) staphylococcal enterotoxin A precursor [SE (VF0020)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2008197	2008919	sell	1-723/723	===============	0/0	100.00	99.72	vfdb2	NP_645577	(sell) staphylococcal enterotoxin L precursor [Enterotoxin-like L (CVF065)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2009088	2009888	sec	1-801/801	===============	0/0	100.00	97.88	vfdb2	NP_645576	(sec) staphylococcal enterotoxin C precursor [Enterotoxin C (CVF057)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2012114	2012818	tsst-1	1-705/705	===============	0/0	100.00	100.00	vfdb2	NP_375120	(tsst-1) toxic shock syndrome toxin-1 [TSST-1 (VF0022)] [Staphylococcus aureus subsp. aureus N315]
11CEB145STA	11CEB145STA_3	2030337	2030471	hld	1-135/135	===============	0/0	100.00	99.26	vfdb2	NP_646776	(hld) delta-hemolysin [<delta>-hemolysin (VF0007)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2206656	2209076	hysA	1-2418/2448	========/======	3/5	98.73	94.67	vfdb2	NP_646946	(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2409855	2411135	sbi	1-1314/1314	========/======	2/33	97.49	95.89	vfdb2	NP_647158	(sbi) IgG-binding protein SBI [Sbi (VF0423)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2411671	2412600	hlgA	1-930/930	===============	0/0	100.00	99.68	vfdb2	NP_647159	(hlgA) gamma-hemolysin chain II precursor [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2413167	2414114	hlgC	1-948/948	===============	0/0	100.00	99.47	vfdb2	NP_647160	(hlgC) gamma-hemolysin component C [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2414116	2415093	hlgB	1-978/978	===============	0/0	100.00	99.80	vfdb2	NP_647161	(hlgB) gamma-hemolysin component B [<gamma>-hemolysin (VF0011)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2732556	2734085	aur	1-1530/1530	===============	0/0	100.00	99.67	vfdb2	NP_647375	(aur) zinc metalloproteinase aureolysin [Aureolysin (VF0024)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2774328	2774888	icaR	1-561/561	===============	0/0	100.00	99.82	vfdb2	NP_647402	(icaR) ica operon transcriptional regulator IcaR [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2775052	2776290	icaA	1-1239/1239	===============	0/0	100.00	99.84	vfdb2	NP_647403	(icaA) N-acetylglucosaminyltransferase involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
11CEB145STA	11CEB145STA_3	2776254	2776559	icaD	1-306/306	===============	0/0	100.00	99.67	vfdb2	NP_647404	(icaD) intercellular adhesion protein D involved in polysaccharide intercellular adhesin(PIA) synthesis [Intercellular adhesion proteins (VF0014)] [Staphylococcus aureus subsp. aureus MW2]
